Date,AAPL,AMZN,AVGO,BAC,COST,GOOGL,HD,JPM,MA,META,MSFT,NVDA,PG,TSLA,UNH,XOM
2019-01-16,36.830440521240234,84.18900299072266,20.853422164916992,24.008668899536133,190.29002380371094,54.06698226928711,149.0662841796875,84.92247009277344,190.48828125,146.5165557861328,98.59845733642578,3.6900410652160645,76.53003692626953,23.06999969482422,233.152587890625,51.74354934692383
2019-01-17,37.04914093017578,84.66100311279297,21.154170989990234,24.46436309814453,191.4488983154297,54.54388427734375,147.23915100097656,85.27044677734375,191.9716033935547,147.27125549316406,99.29084014892578,3.761441946029663,76.51905822753906,23.15399932861328,231.64553833007812,52.09746170043945
2019-01-18,37.277339935302734,84.80999755859375,21.60901641845703,24.725969314575195,193.37733459472656,54.94981384277344,151.20494079589844,86.65406799316406,194.5625762939453,148.9991912841797,100.77851104736328,3.8906092643737793,77.17752075195312,20.150667190551758,236.75518798828125,52.71861267089844
2019-01-22,36.44061279296875,81.6084976196289,21.399404525756836,24.548749923706055,192.29994201660156,53.527061462402344,149.1251983642578,85.2870101928711,192.11607360839844,146.54632568359375,98.87913513183594,3.6883060932159424,76.3501968383789,19.92799949645996,236.92466735839844,51.92410659790039
2019-01-23,36.58798599243164,82.0009994506836,21.335613250732422,24.40528678894043,192.01927185058594,53.813899993896484,148.93995666503906,85.07160186767578,191.0469512939453,143.2990264892578,99.8428726196289,3.701197624206543,80.06471252441406,19.172666549682617,238.1106414794922,51.49797821044922
2019-01-24,36.29799270629883,82.74649810791016,21.83519172668457,24.540311813354492,190.4077606201172,53.79355239868164,149.27679443359375,85.12133026123047,192.43394470214844,144.81837463378906,99.36568450927734,3.9131693840026855,79.60884094238281,19.43400001525879,237.31703186035156,51.57020950317383
2019-01-25,37.50077819824219,83.52850341796875,22.198909759521484,24.962255477905273,189.28512573242188,54.6624870300293,151.8953399658203,85.65985107421875,195.46795654296875,147.97633361816406,100.27327728271484,3.9704387187957764,79.01789855957031,19.80266761779785,239.0291290283203,51.801326751708984
2019-01-28,37.15373992919922,81.89450073242188,22.17239761352539,25.004451751708984,190.82420349121094,53.58810806274414,151.4154052734375,86.06581115722656,192.790283203125,146.44703674316406,98.31777954101562,3.421543836593628,78.95035552978516,19.7586669921875,237.88763427734375,51.45464324951172
2019-01-29,36.76864242553711,79.69400024414062,22.064695358276367,24.801916122436523,190.4077606201172,53.101776123046875,151.29757690429688,86.30606842041016,191.9041748046875,143.1897735595703,96.31549072265625,3.2626278400421143,78.96724700927734,19.83066749572754,238.39598083496094,51.649662017822266
2019-01-30,39.28121566772461,83.52149963378906,22.437522888183594,24.531869888305664,191.34925842285156,54.4878044128418,153.39410400390625,86.50493621826172,196.50816345214844,149.3765411376953,99.53411865234375,3.406172752380371,79.79454040527344,20.584667205810547,241.09793090820312,52.21304702758789
